time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-09-26T07:20:49.790Z,37.5713348,-118.8816681,-1.68,3.82,ml,37,194,0.06903,1.99,ci,ci9570961,2016-04-02T16:50:24.847Z,"11km SE of Mammoth Lakes, CA",earthquake,11.06,20.55,0.264,27,automatic,ci,ci
2000-12-21T13:05:00.000Z,-3.221,150.758,25,5.5,mw,,,,,iscgem,iscgem3265188,2015-05-13T18:53:43.000Z,"New Ireland region, Papua New Guinea",earthquake,,,,,automatic,iscgem,iscgem
2003-05-22T23:48:57.290Z,36.723999,-121.3050003,6.279,3.78,ml,43,280,,0.54,ci,ci13965956,2020-02-12T17:13:43.371Z,"11km SSE of Ridgemark, CA",earthquake,15.54,19.23,0.285,9,automatic,ci,ci
2003-11-06T22:04:13.230Z,37.2046661,-121.6681671,-0.334,3.68,ml,27,136,,0.29,ci,ci14002288,2020-02-12T16:57:31.644Z,"8km N of Morgan Hill, CA",earthquake,0.87,1.8,0.034,1,automatic,ci,ci
2004-01-01T11:13:29.380Z,35.713,-121.0521667,5.252,3.78,ml,51,72,0.1171,0.09,nc,nc21328398,2017-01-06T23:51:48.400Z,"Central California",earthquake,0.16,0.73,,11,automatic,nc,nc
2004-01-02T06:40:20.710Z,35.6408333,-121.08,3.407,3.73,ml,47,98,0.04234,0.11,nc,nc21329065,2017-01-06T23:58:39.760Z,"Central California",earthquake,0.16,0.46,,6,automatic,nc,nc
2004-01-02T10:53:39.860Z,35.6948333,-121.1436667,6.202,3.58,ml,43,65,0.01532,0.08,nc,nc30500603,2017-01-07T00:01:16.040Z,"Central California",earthquake,0.15,0.63,,1,automatic,nc,nc
2004-01-04T05:43:51.440Z,35.6471667,-121.0913333,4.106,3.65,ml,58,110,0.04685,0.07,nc,nc21330730,2017-01-07T00:23:16.910Z,"Central California",earthquake,0.14,0.35,,7,automatic,nc,nc
2004-01-04T23:17:15.460Z,35.684,-121.1008333,6.73,3.53,ml,60,105,0.08378,0.07,nc,nc21331022,2017-01-07T00:28:50.870Z,"Central California",earthquake,0.15,0.61,,7,automatic,nc,nc
2004-01-05T10:24:50.760Z,35.7151667,-121.045,4.522,3.51,ml,47,50,0.09459,0.11,nc,nc21331136,2017-01-07T00:32:40.260Z,"Central California",earthquake,0.16,0.54,,1,automatic,nc,nc
2004-01-06T06:39:29.950Z,35.6328333,-121.0806667,4.744,3.83,ml,55,98,0.03423,0.08,nc,nc21330775,2017-01-07T00:39:33.430Z,"Central California",earthquake,0.16,0.39,,11,automatic,nc,nc
2004-01-06T18:28:38.160Z,35.7198333,-121.089,6.26,3.93,ml,60,84,0.1081,0.09,nc,nc21331252,2018-07-09T18:20:34.169Z,"Central California",earthquake,0.15,0.64,,13,automatic,nc,nc
2004-01-09T00:07:34.070Z,35.6701667,-121.1121667,4.32,3.52,ml,57,120,0.07117,0.06,nc,nc21332079,2017-01-07T00:58:09.710Z,"Central California",earthquake,0.12,0.4,,8,automatic,nc,nc
2004-01-10T04:09:31.620Z,35.5148333,-120.9323333,2.928,3.53,ml,58,89,0.02793,0.11,nc,nc21332304,2017-01-07T01:04:11.660Z,"Central California",earthquake,0.16,0.31,,9,automatic,nc,nc
2004-01-13T01:14:27.420Z,37.5116667,-118.8396667,1.508,3.84,ml,42,119,0.1009,0.05,nc,nc21333442,2017-03-17T17:48:12.806Z,"Central California",earthquake,0.22,0.79,,19,automatic,nc,nc
2004-01-14T01:09:15.770Z,35.5753333,-120.7971667,1.078,3.68,ml,52,46,0.0982,0.08,nc,nc21333767,2018-07-09T18:20:55.592Z,"Central California",earthquake,0.15,1.41,,9,automatic,nc,nc
2004-02-10T08:09:21.470Z,35.6768333,-121.1121667,4.649,3.5,ml,60,116,0.07748,0.09,nc,nc21341724,2017-01-07T03:37:10.950Z,"Central California",earthquake,0.16,0.66,,7,automatic,nc,nc
2004-02-27T08:33:05.200Z,35.5768333,-120.8618333,3.296,3.82,ml,62,41,0.05676,0.09,nc,nc21346462,2018-07-09T18:25:20.391Z,"Central California",earthquake,0.13,0.52,,9,automatic,nc,nc
2004-03-17T07:50:03.540Z,35.6685,-121.1166667,5.243,3.51,ml,55,124,0.07027,0.09,nc,nc21351142,2017-01-07T06:55:37.660Z,"Central California",earthquake,0.16,0.45,,2,automatic,nc,nc
2004-03-17T23:53:07.280Z,35.7306667,-121.075,4.271,4.51,mw,67,46,0.06036,0.09,nc,nc21351360,2020-05-06T06:53:37.080Z,"Central California",earthquake,0.15,0.46,,7,automatic,nc,nc
2004-03-18T10:26:52.740Z,35.7233333,-121.071,4.785,3.63,mw,62,50,0.06577,0.1,nc,nc21351534,2017-03-17T17:51:34.373Z,"Central California",earthquake,0.13,0.38,,2,automatic,nc,nc
2004-06-03T08:54:46.230Z,39.3335,-120.0083333,2.991,4.2,mw,43,120,0.04144,0.08,nc,nc21368407,2020-05-06T06:54:02.236Z,"9km NNW of Incline Village, Nevada",earthquake,0.24,0.91,,4,automatic,nc,nc
2004-06-03T20:55:24.950Z,38.8263333,-122.8031667,3.398,3.52,ml,57,31,0.01982,0.08,nc,nc21368599,2018-07-09T18:30:17.197Z,"Northern California",earthquake,0.15,0.3,,14,automatic,nc,nc
2004-06-05T02:46:51.110Z,35.5415,-121.3056667,1.142,3.53,mw,72,202,0.1694,0.12,nc,nc21368984,2017-01-07T15:00:33.640Z,"offshore Central California",earthquake,0.34,1.49,,3,automatic,nc,nc
2004-06-06T08:40:52.380Z,35.5423333,-121.3045,1.752,3.72,mw,71,202,0.1685,0.08,nc,nc21369286,2017-03-17T17:54:37.933Z,"offshore Central California",earthquake,0.35,1.02,,3,automatic,nc,nc
2004-06-12T14:49:41.810Z,39.4073333,-120.213,-0.184,3.65,ml,24,60,0.1,0.08,nc,nc21370352,2018-04-24T21:13:08.726Z,"9km NNW of Truckee, California",earthquake,0.23,2.36,,14,automatic,nc,nc
2004-07-13T23:45:45.760Z,35.7301667,-121.0603333,4.7,3.92,mw,72,72,0.07117,0.11,nc,nc21377965,2018-07-09T18:31:10.409Z,"Central California",earthquake,0.17,0.64,,3,automatic,nc,nc
2004-07-27T03:38:17.070Z,35.7181667,-121.054,4.82,3.7,mw,69,72,0.07117,0.1,nc,nc21383395,2017-03-17T17:56:09.017Z,"Central California",earthquake,0.15,0.56,,3,automatic,nc,nc
2004-09-18T07:07:10.510Z,38.0091667,-118.675,3.445,3.5,mw,45,74,0.05135,0.08,nc,nc30506171,2018-04-24T21:16:54.730Z,"47km NNE of Mammoth Lakes, California",earthquake,0.22,0.6,,2,automatic,nc,nc
2004-09-28T17:35:17.810Z,35.947,-120.4895,9.525,3.55,ml,21,156,0.01171,0.03,nc,nc30506251,2017-03-17T19:51:16.892Z,"Central California",earthquake,0.28,0.28,,17,automatic,nc,nc
2004-10-29T18:02:55.210Z,38.8176667,-122.7911667,2.509,3.98,mw,57,41,0.009009,0.1,nc,nc21415559,2019-06-28T18:47:56.697Z,"Northern California",earthquake,0.17,0.22,,5,automatic,nc,nc
2004-12-26T07:51:17.000Z,7.808,93.428,25,6,mw,,,,,iscgem,iscgem7453859,2015-05-13T18:53:48.000Z,"Nicobar Islands, India region",earthquake,,,,,automatic,iscgem,iscgem
2005-07-25T09:42:52.370Z,37.1156667,-119.5751667,1.987,3.64,ml,18,213,0.673,0.22,nc,nc30506986,2017-03-17T19:52:22.060Z,"Central California",earthquake,2.56,2.78,,9,automatic,nc,nc
2006-05-11T00:14:56.000Z,-57.25,-142.25,10,4.9,mwc,,,,,gcmt,gcmtc200605110014a,2016-11-10T01:22:06.485Z,"Pacific-Antarctic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2006-06-05T18:02:32.000Z,0.75,-85.25,10,5.1,mwc,,,,,gcmt,gcmtc200606051802a,2016-11-10T01:23:31.209Z,"off the coast of Ecuador",earthquake,,,,,automatic,gcmt,gcmt
2006-06-11T18:36:56.000Z,-57.25,-141.25,10,5,mwc,,,,,gcmt,gcmtc200606111836a,2016-11-10T01:23:43.575Z,"Pacific-Antarctic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2006-06-12T00:43:12.000Z,-53.25,-117.75,10,5.1,mwc,,,,,gcmt,gcmtc200606120043a,2016-11-10T01:23:44.698Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-07-03T18:45:36.000Z,-24.5,-115.5,10,4.9,mwc,,,,,gcmt,gcmtc200607031845a,2016-11-10T01:25:01.891Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-07-03T19:49:36.000Z,-15.25,-174.25,10,4.9,mwc,,,,,gcmt,gcmtc200607031949a,2016-11-10T01:25:02.359Z,"Tonga",earthquake,,,,,automatic,gcmt,gcmt
2006-07-20T14:43:20.000Z,-17.75,-13.25,10,4.9,mwc,,,,,gcmt,gcmtc200607201443a,2016-11-10T01:25:56.621Z,"southern Mid-Atlantic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2006-07-27T07:12:56.000Z,-41.5,-90.5,10,5.1,mwc,,,,,gcmt,gcmtc200607270712a,2016-11-10T01:26:10.702Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2006-08-11T18:07:36.000Z,-19.5,-175.5,10,5.1,mwc,,,,,gcmt,gcmtc200608111807a,2016-11-10T01:26:47.534Z,"Tonga",earthquake,,,,,automatic,gcmt,gcmt
2006-09-04T14:27:44.000Z,-35,-15,10,4.8,mwc,,,,,gcmt,gcmtc200609041427a,2016-11-10T01:27:54.613Z,"Tristan da Cunha region",earthquake,,,,,automatic,gcmt,gcmt
2006-09-08T00:47:12.000Z,-36.25,-104.25,10,5.2,mwc,,,,,gcmt,gcmtc200609080047a,2016-11-10T01:28:01.171Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2006-09-15T06:37:04.000Z,-50.25,-115.75,10,5.2,mwc,,,,,gcmt,gcmtc200609150637a,2016-11-10T01:28:14.382Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-09-26T11:10:24.000Z,-6.5,-11.5,10,4.8,mwc,,,,,gcmt,gcmtc200609261110a,2016-11-10T01:28:40.387Z,"Ascension Island region",earthquake,,,,,automatic,gcmt,gcmt
2006-10-04T02:32:56.000Z,-35.5,-105.5,10,4.9,mwc,,,,,gcmt,gcmtc200610040232a,2016-11-10T01:29:10.271Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-10-04T07:40:16.000Z,-35.25,-108.25,10,5,mwc,,,,,gcmt,gcmtc200610040740a,2016-11-10T01:29:11.948Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-10-19T23:50:32.000Z,-35,-109,10,4.9,mwc,,,,,gcmt,gcmtc200610192350a,2016-11-10T01:29:56.011Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2006-11-09T14:24:24.000Z,-35,-15,10,5,mwc,,,,,gcmt,gcmtc200611091424a,2016-11-10T01:30:43.039Z,"Tristan da Cunha region",earthquake,,,,,automatic,gcmt,gcmt
2006-12-01T01:31:36.000Z,-29.75,-112.25,10,5.1,mwc,,,,,gcmt,gcmtc200612010131a,2016-11-10T01:31:58.203Z,"Easter Island region",earthquake,,,,,automatic,gcmt,gcmt
2006-12-24T21:37:36.000Z,-28.75,-112.75,10,5,mwc,,,,,gcmt,gcmtc200612242137a,2016-11-10T01:32:42.070Z,"Easter Island region",earthquake,,,,,automatic,gcmt,gcmt
2006-12-30T17:39:20.000Z,-49.75,-115.75,10,5.2,mwc,,,,,gcmt,gcmtc200612301739a,2016-11-10T01:32:50.642Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-01-06T05:39:52.000Z,-60,150,10,5,mwc,,,,,gcmt,gcmtc200701060539a,2016-11-10T01:33:05.879Z,"west of Macquarie Island",earthquake,,,,,automatic,gcmt,gcmt
2007-01-15T01:43:28.000Z,-41.75,-86.75,10,4.9,mwc,,,,,gcmt,gcmtc200701150143a,2016-11-10T01:33:35.222Z,"West Chile Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-01-18T18:20:40.000Z,23.75,123.75,10,4.9,mwc,,,,,gcmt,gcmtc200701181820a,2016-11-10T01:33:54.570Z,"southwestern Ryukyu Islands, Japan",earthquake,,,,,automatic,gcmt,gcmt
2007-01-19T00:03:28.000Z,23.75,123.25,10,4.8,mwc,,,,,gcmt,gcmtc200701190003a,2016-11-10T01:33:56.388Z,"southwestern Ryukyu Islands, Japan",earthquake,,,,,automatic,gcmt,gcmt
2007-01-22T21:40:16.000Z,-17.75,176.25,10,4.9,mwc,,,,,gcmt,gcmtc200701222140a,2016-11-10T01:34:16.163Z,"Fiji region",earthquake,,,,,automatic,gcmt,gcmt
2007-01-29T04:12:08.000Z,-41.75,-91.75,10,5.1,mwc,,,,,gcmt,gcmtc200701290412a,2016-11-10T01:34:45.557Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2007-02-06T14:32:08.000Z,-56.25,-123.75,10,5,mwc,,,,,gcmt,gcmtc200702061432a,2016-11-10T01:35:11.326Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-02-07T09:41:04.000Z,-56.25,-123.25,10,4.8,mwc,,,,,gcmt,gcmtc200702070941a,2016-11-10T01:35:11.952Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-02-21T17:09:12.000Z,-24.25,-115.75,10,4.8,mwc,,,,,gcmt,gcmtc200702211709a,2016-11-10T01:35:58.155Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-03-14T06:10:16.000Z,-3.5,149.5,10,5.2,mwc,,,,,gcmt,gcmtc200703140610a,2016-11-10T01:36:56.105Z,"Bismarck Sea",earthquake,,,,,automatic,gcmt,gcmt
2007-03-22T10:41:12.000Z,-16.5,177.5,10,4.9,mwc,,,,,gcmt,gcmtc200703221041a,2016-11-10T01:37:09.774Z,"Fiji",earthquake,,,,,automatic,gcmt,gcmt
2007-04-07T23:46:08.000Z,-41.75,-89.75,10,5.1,mwc,,,,,gcmt,gcmtc200704072346a,2016-11-10T01:38:12.191Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2007-04-15T17:05:28.000Z,-36.75,-97.75,10,5.1,mwc,,,,,gcmt,gcmtc200704151705a,2016-11-10T01:38:44.727Z,"West Chile Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-05-12T10:16:56.000Z,-49.75,-116.75,10,5.2,mwc,,,,,gcmt,gcmtc200705121016a,2016-11-10T01:40:02.757Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-05-27T02:59:12.000Z,-35.75,-17.25,10,5,mwc,,,,,gcmt,gcmtc200705270259a,2016-11-10T01:40:30.974Z,"southern Mid-Atlantic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2007-06-13T03:08:32.000Z,-61.5,154.5,10,5,mwc,,,,,gcmt,gcmtc200706130308a,2016-11-10T01:41:05.172Z,"Balleny Islands region",earthquake,,,,,automatic,gcmt,gcmt
2007-08-09T18:59:12.000Z,-50.25,-115.75,10,5.1,mwc,,,,,gcmt,gcmtc200708091859a,2016-11-10T01:43:22.538Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2007-10-05T03:52:24.000Z,-15.25,-175.25,10,5.1,mwc,,,,,gcmt,gcmtc200710050352a,2016-11-10T01:46:29.998Z,"Tonga",earthquake,,,,,automatic,gcmt,gcmt
2007-11-05T20:58:48.000Z,-63.5,171.5,10,5.2,mwc,,,,,gcmt,gcmtc200711052058a,2016-11-10T01:47:43.383Z,"Balleny Islands region",earthquake,,,,,automatic,gcmt,gcmt
2008-01-18T05:36:56.000Z,-41.25,-90.25,10,5.1,mwc,,,,,gcmt,gcmtc200801180536a,2016-11-10T01:50:46.576Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2008-01-19T20:57:28.000Z,-35.25,-111.75,10,5,mwc,,,,,gcmt,gcmtc200801192057a,2016-11-10T01:50:50.916Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-01-23T13:00:32.000Z,-60.25,-151.25,10,5,mwc,,,,,gcmt,gcmtc200801231300a,2016-11-10T01:51:02.092Z,"Pacific-Antarctic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-02-03T02:00:56.000Z,-51.75,160.75,10,5.2,mwc,,,,,gcmt,gcmtc200802030201a,2016-11-10T01:51:24.281Z,"north of Macquarie Island",earthquake,,,,,automatic,gcmt,gcmt
2008-02-04T04:46:00.000Z,-53.25,-117.75,10,5,mwc,,,,,gcmt,gcmtc200802040446a,2016-11-10T01:51:28.870Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-02-11T23:20:24.000Z,-15.5,-174.5,10,5,mwc,,,,,gcmt,gcmtc200802112320a,2016-11-10T01:51:44.514Z,"Tonga",earthquake,,,,,automatic,gcmt,gcmt
2008-03-05T17:00:40.000Z,-39.5,-15.5,10,4.9,mwc,,,,,gcmt,gcmtc200803051700a,2016-11-10T01:52:44.574Z,"Tristan da Cunha region",earthquake,,,,,automatic,gcmt,gcmt
2008-03-19T10:16:16.000Z,-47,-13,10,5,mwc,,,,,gcmt,gcmtc200803191016a,2016-11-10T01:53:15.047Z,"southern Mid-Atlantic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-03-24T18:23:44.000Z,-49.75,-115.75,10,5.3,mwc,,,,,gcmt,gcmtc200803241823a,2016-11-10T01:53:30.992Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-03-31T08:33:12.000Z,-62.5,165.5,10,5.4,mwc,,,,,gcmt,gcmtc200803310833a,2016-11-10T01:53:49.259Z,"Balleny Islands region",earthquake,,,,,automatic,gcmt,gcmt
2008-04-01T05:51:52.000Z,-41.75,-88.25,10,4.9,mwc,,,,,gcmt,gcmtc200804010552a,2016-11-10T01:53:52.566Z,"West Chile Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-04-16T20:28:48.000Z,-17.25,-12.75,10,5,mwc,,,,,gcmt,gcmtc200804162028a,2016-11-10T01:54:46.404Z,"southern Mid-Atlantic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-04-25T18:44:00.000Z,-15.25,-174.75,10,4.9,mwc,,,,,gcmt,gcmtc200804251844a,2016-11-10T01:55:11.516Z,"Tonga",earthquake,,,,,automatic,gcmt,gcmt
2008-06-02T01:37:20.000Z,-37.75,-17.25,10,4.9,mwc,,,,,gcmt,gcmtc200806020137a,2016-11-10T01:56:48.264Z,"southern Mid-Atlantic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-06-02T14:07:20.000Z,-35.75,-107.25,10,4.9,mwc,,,,,gcmt,gcmtc200806021407a,2016-11-10T01:56:50.802Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-06-29T14:32:48.000Z,-42.25,-89.25,10,4.9,mwc,,,,,gcmt,gcmtc200806291432a,2016-11-10T01:58:04.186Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2008-07-16T15:49:12.000Z,8.75,-102.75,10,4.9,mwc,,,,,gcmt,gcmtc200807161549a,2016-11-10T01:58:49.512Z,"northern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-07-23T03:59:28.000Z,-55.75,-125.25,10,5,mwc,,,,,gcmt,gcmtc200807230359a,2016-11-10T01:59:09.147Z,"southern East Pacific Rise",earthquake,,,,,automatic,gcmt,gcmt
2008-07-23T12:55:04.000Z,-14.75,-176.75,10,5,mwc,,,,,gcmt,gcmtc200807231255a,2016-11-10T01:59:10.869Z,"Fiji region",earthquake,,,,,automatic,gcmt,gcmt
2008-08-10T11:53:52.000Z,-60.5,153.5,10,5.1,mwc,,,,,gcmt,gcmtc200808101153a,2016-11-10T01:59:58.863Z,"west of Macquarie Island",earthquake,,,,,automatic,gcmt,gcmt
2008-08-15T16:18:24.000Z,-41.75,84.75,10,5,mwc,,,,,gcmt,gcmtc200808151618a,2016-11-10T02:00:14.584Z,"southeast Indian Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-09-22T12:36:56.000Z,-55.25,-136.25,10,5,mwc,,,,,gcmt,gcmtc200809221237a,2016-11-10T02:01:55.699Z,"Pacific-Antarctic Ridge",earthquake,,,,,automatic,gcmt,gcmt
2008-10-27T23:23:45.000Z,-17.15,177.89,66.3,5.3,mwc,,,,,gcmt,gcmtc200810272323a,2016-11-10T02:03:15.826Z,"Fiji",earthquake,,,,,automatic,gcmt,gcmt
2008-10-28T19:59:12.000Z,-35.75,-104.75,10,5,mwc,,,,,gcmt,gcmtc200810281959a,2016-11-10T02:03:18.223Z,"southeast of Easter Island",earthquake,,,,,automatic,gcmt,gcmt
2008-11-18T20:01:44.000Z,-37.75,-94.75,10,5,mwc,,,,,gcmt,gcmtc200811182001a,2016-11-10T02:04:23.013Z,"West Chile Rise",earthquake,,,,,automatic,gcmt,gcmt
